timestep,demand_el
399,440
400,432
401,464
402,464
403,464
404,512
405,528
406,552
407,560
408,612
409,680
410,712
411,800
412,872
413,900
414,896
415,976
416,1080
417,1168
418,1164
419,1168
420,1208
421,1312
422,1288
423,1332
424,1376
425,1424
426,1384
427,1356
428,1304
429,1344
430,1480
431,1456
432,1552
433,1596
434,1596
435,1544
436,1500
437,1524
438,1520
439,1536
440,1548
441,1488
442,1400
443,1212
444,1140
445,1056
446,1040
447,1080
448,1032
449,1020
450,1000
451,996
452,992
453,952
454,920
455,924
456,876
457,832
458,832
459,776
460,728
461,696
462,672
463,640
464,656
465,624
466,576
467,544
468,552
469,560
470,608
471,468
472,444
473,552
474,416
475,396
476,472
477,440
478,352
479,408
480,464
481,360
482,400
483,468
484,360
485,348
486,360
487,360
488,336
489,348
490,368
491,344
492,348
493,360
494,368
495,384
496,360
497,384
498,396
499,372
500,408
501,444
502,468
503,488
504,516
505,612
506,632
507,672
508,704
509,808
510,808
511,840
512,952
513,1072
514,1120
515,1144
516,1280
517,1288
518,1272
519,1308
520,1288
521,1380
522,1392
523,1440
524,1424
525,1448
526,1616
527,1584
528,1608
529,1672
530,1692
531,1692
532,1720
533,1688
534,1696
535,1704
536,1692
537,1664
538,1596
539,1380
540,1284
541,1296
542,1280
543,1260
544,1212
545,1200
546,1152
547,1096
548,1068
549,1024
550,1000
551,952
552,912
553,888
554,856
555,808
556,756
557,708
558,708
559,664
560,648
561,624
562,584
563,552
564,520
565,536
566,480
567,468
568,448
569,424
570,392
571,372
572,368
573,384
574,372
575,352
576,360
577,344
578,348
579,360
580,352
581,336
582,352
583,336
584,352
585,344
586,352
587,344
588,344
589,336
590,384
591,392
592,384
593,372
594,392
595,400
596,416
597,468
598,472
599,488
600,528
601,588
602,624
603,736
604,760
605,780
606,784
607,804
608,952
609,1128
610,1120
611,1088
612,1208
613,1264
614,1232
615,1240
616,1240
617,1264
618,1344
619,1376
620,1356
621,1400
622,1496
623,1464
624,1528
625,1568
626,1560
627,1520
628,1488
629,1456
630,1472
631,1452
632,1408
633,1304
634,1296
635,1168
636,1056
637,1044
638,1020
639,992
640,984
641,960
642,972
643,952
644,904
645,848
646,804
647,808
648,760
649,760
650,708
651,684
652,664
653,636
654,632
655,588
656,588
657,564
658,544
659,528
660,504
661,488
662,468
663,444
664,432
665,384
666,392
667,372
668,372
669,352
670,360
671,348
672,360
673,352
674,344
675,352
676,348
677,368
678,336
679,328
680,348
681,352
682,344
683,344
684,348
685,360
686,352
687,352
688,352
689,368
690,348
691,352
692,352
693,384
694,360
695,360
696,368
697,384
698,376
699,376
700,376
701,432
702,420
703,432
704,448
705,492
706,488
707,444
708,472
709,464
710,492
711,480
712,492
713,504
714,496
715,488
716,516
717,536
718,540
719,544
720,560
721,540
722,512
723,536
724,540
725,544
726,544
727,544
728,560
729,536
730,536
731,552
732,560
733,544
734,552
735,544
736,560
737,528
738,528
739,560
740,536
741,540
742,516
743,528
744,512
745,472
746,464
747,464
748,480
749,444
750,444
751,420
752,432
753,408
754,408
755,400
756,420
757,400
758,384
759,376
760,396
761,368
762,560
763,560
764,516
765,360
766,368
767,344
768,348
769,372
770,348
771,352
772,348
773,448
774,544
775,504
776,344
777,352
778,352
779,352
780,360
781,348
782,352
783,352
784,368
785,336
786,344
787,348
788,352
789,348
790,348
791,348
792,348
793,368
794,372
795,372
796,376
797,520
798,520
799,376
800,416
801,416
802,420
803,416
804,408
805,392
806,384
807,400
808,400
809,392
810,396
811,420
812,416
813,396
814,392
815,400
816,400
817,416
818,400
819,420
820,408
821,408
822,400
823,392
824,416
825,400
826,408
827,416
828,396
829,416
830,424
831,432
832,416
833,420
834,432
835,432
836,432
837,440
838,440
839,440
840,420
841,424
842,420
843,424
844,400
845,400
846,416
847,416
848,392
849,372
850,392
851,392
852,372
853,360
854,384
855,368
856,360
857,368
858,360
859,352
860,352
861,344
862,344
863,352
864,348
865,348
866,348
867,336
868,336
869,348
870,352
871,344
872,352
873,348
874,348
875,360
876,348
877,348
878,352
879,368
880,372
881,372
882,352
883,368
884,392
885,432
886,456
887,480
888,516
889,584
890,632
891,768
892,792
893,824
894,792
895,808
896,952
897,1096
898,1104
899,1048
900,1144
901,1248
902,1240
903,1264
904,1248
905,1312
906,1380
907,1360
908,1404
909,1380
910,1528
911,1504
912,1456
913,1596
914,1572
915,1520
916,1528
917,1504
918,1572
919,1560
920,1504
921,1488
922,1376
923,1232
924,1128
925,1116
926,1112
927,1088
928,1080
929,1048
930,1044
931,1064
932,1068
933,1048
934,1044
935,984
936,948
937,896
938,824
939,784
940,728
941,704
942,684
943,648
944,612
945,588
946,560
947,540
948,520
949,492
950,480
951,560
952,456
953,416
954,468
955,468
956,368
957,372
958,468
959,348
960,348
961,352
962,348
963,352
964,376
965,448
966,352
967,348
968,348
969,352
970,352
971,352
972,348
973,352
974,360
975,376
976,360
977,352
978,372
979,372
980,392
981,456
982,472
983,520
984,552
985,732
986,728
987,732
988,776
989,904
990,1104
991,1144
992,1264
993,1352
994,1368
995,1344
996,1408
997,1456
998,1448
999,1476
1000,1480
1001,1404
1002,1344
1003,1352
1004,1392
1005,1380
1006,1504
1007,1448
1008,1476
1009,1568
1010,1568
1011,1572
1012,1552
1013,1548
1014,1536
1015,1572
1016,1560
1017,1568
1018,1432
1019,1312
1020,1208
1021,1184
1022,1184
1023,1140
1024,1168
1025,1144
1026,1116
1027,1080
1028,1064
1029,1032
1030,992
1031,976
1032,928
1033,872
1034,828
1035,780
1036,728
1037,660
1038,656
1039,636
1040,612
1041,588
1042,552
1043,544
1044,516
1045,480
1046,536
1047,616
1048,444
1049,408
1050,392
1051,376
1052,372
1053,372
1054,360
1055,360
1056,536
1057,464
1058,360
1059,360
1060,360
1061,520
1062,352
1063,348
1064,396
1065,512
1066,344
1067,360
1068,344
1069,344
1070,372
1071,360
1072,368
1073,360
1074,368
1075,368
1076,396
1077,448
1078,448
1079,512
1080,516
1081,832
1082,952
1083,1000
1084,992
1085,976
1086,976
1087,1040
1088,1160
1089,1092
1090,1152
1091,1160
1092,1352
1093,1472
1094,1464
1095,1480
1096,1500
1097,1464
1098,1392
1099,1356
1100,1404
1101,1360
1102,1456
1103,1524
1104,1520
1105,1688
1106,1712
1107,1752
1108,1584
1109,1692
1110,1692
1111,1608
1112,1572
1113,1536
1114,1432
1115,1312
1116,1232
1117,1224
1118,1188
1119,1184
1120,1184
1121,1152
1122,1128
1123,1104
1124,1056
1125,1020
1126,1008
1127,944
1128,900
1129,888
1130,856
1131,824
1132,744
1133,696
1134,696
1135,680
1136,660
1137,600
1138,568
1139,564
1140,544
1141,512
1142,488
1143,472
1144,464
1145,424
1146,392
1147,408
1148,396
1149,384
1150,392
1151,376
1152,392
1153,372
1154,354
1155,354
1156,354
1157,360
1158,354
1159,360
1160,366
1161,354
1162,372
1163,354
1164,366
1165,372
1166,378
1167,384
1168,378
1169,390
1170,396
1171,390
1172,414
1173,480
1174,474
1175,528
1176,540
1177,624
1178,672
1179,756
1180,816
1181,798
1182,858
1183,912
1184,1032
1185,1110
1186,1146
1187,1170
1188,1176
1189,1266
1190,1314
1191,1314
1192,1350
1193,1374
1194,1548
1195,1506
1196,1548
1197,1596
1198,1746
1199,1638
1200,1674
1201,1680
1202,1788
1203,1734
1204,1686
1205,1734
1206,1734
1207,1728
1208,1710
1209,1572
1210,1542
1211,1440
1212,1344
1213,1380
1214,1368
1215,1326
1216,1338
1217,1314
1218,1230
1219,1188
1220,1188
1221,1164
1222,1134
1223,1104
1224,1068
1225,1050
1226,996
1227,936
1228,858
1229,816
1230,798
1231,756
1232,750
1233,714
1234,708
1235,690
1236,660
1237,624
1238,606
1239,594
1240,552
1241,528
1242,504
1243,498
1244,588
1245,648
1246,648
1247,642
1248,630
1249,618
1250,624
1251,624
1252,624
1253,606
1254,642
1255,576
1256,414
1257,414
1258,438
1259,432
1260,426
1261,414
1262,444
1263,444
1264,438
1265,450
1266,432
1267,462
1268,474
1269,516
1270,540
1271,576
1272,624
1273,666
1274,720
1275,750
1276,804
1277,864
1278,894
1279,960
1280,1056
1281,1170
1282,1206
1283,1230
1284,1350
1285,1380
1286,1410
1287,1398
1288,1446
1289,1518
1290,1578
1291,1512
1292,1554
1293,1560
1294,1644
1295,1680
1296,1698
1297,1662
1298,1644
1299,1608
1300,1626
1301,1578
1302,1554
1303,1542
1304,1518
1305,1470
1306,1470
1307,1314
1308,1266
1309,1218
1310,1212
1311,1164
1312,1158
1313,1068
1314,1038
1315,1032
1316,1002
1317,966
1318,924
1319,888
1320,852
1321,828
1322,786
1323,774
1324,750
1325,702
1326,720
1327,684
1328,690
1329,672
1330,642
1331,612
1332,606
1333,564
1334,546
1335,504
1336,528
1337,462
1338,432
1339,390
1340,390
1341,588
1342,564
1343,564
1344,552
1345,402
1346,360
1347,348
1348,342
1349,360
1350,534
1351,534
1352,540
1353,474
1354,372
1355,342
1356,360
1357,348
1358,360
1359,366
1360,474
1361,546
1362,528
1363,360
1364,360
1365,348
1366,360
1367,366
1368,378
1369,372
1370,366
1371,378
1372,390
1373,426
1374,426
1375,432
1376,444
1377,504
1378,474
1379,444
1380,462
1381,456
1382,480
1383,474
1384,498
1385,522
1386,534
1387,534
1388,528
1389,570
1390,582
1391,576
1392,576
1393,546
1394,540
1395,564
1396,534
1397,558
1398,540
1399,534
1400,546
1401,522
1402,510
1403,522
1404,528
1405,516
1406,510
1407,540
1408,540
1409,486
1410,492
1411,504
1412,522
1413,504
1414,504
1415,498
1416,486
1417,492
1418,468
1419,474
1420,462
1421,444
1422,546
1423,648
1424,636
1425,630
1426,594
1427,600
1428,600
1429,576
1430,576
1431,576
1432,570
1433,564
1434,546
1435,390
1436,348
1437,366
1438,336
1439,348
1440,360
1441,354
1442,360
1443,348
1444,354
1445,342
1446,360
1447,330
1448,354
1449,330
1450,468
1451,522
1452,564
1453,396
1454,336
1455,336
1456,336
1457,348
1458,336
1459,330
1460,342
1461,360
1462,348
1463,354
1464,342
1465,384
1466,378
1467,354
1468,390
1469,384
1470,408
1471,384
1472,408
1473,432
1474,414
1475,396
1476,402
1477,390
1478,396
1479,396
1480,402
1481,414
1482,402
1483,408
1484,402
1485,390
1486,384
1487,408
1488,378
1489,546
1490,600
1491,594
1492,600
1493,600
1494,624
1495,636
1496,642
1497,630
1498,636
1499,648
1500,636
1501,666
1502,666
1503,678
1504,678
1505,678
1506,666
1507,672
1508,684
1509,678
1510,684
1511,660
1512,492
1513,462
1514,444
1515,444
1516,438
1517,426
1518,438
1519,420
1520,414
1521,396
1522,408
1523,408
1524,396
1525,378
1526,390
1527,384
1528,384
1529,360
1530,360
1531,366
1532,354
1533,354
1534,366
1535,348
1536,354
1537,330
1538,360
1539,342
1540,342
1541,324
1542,354
1543,348
1544,342
1545,354
1546,336
1547,348
1548,348
1549,348
1550,366
1551,342
1552,360
1553,372
1554,360
1555,360
1556,402
1557,426
1558,444
1559,486
1560,498
1561,570
1562,726
1563,768
1564,768
1565,882
1566,858
1567,936
1568,960
1569,1056
1570,1086
1571,1044
1572,1116
1573,1272
1574,1302
1575,1320
1576,1374
1577,1410
1578,1476
1579,1338
1580,1368
1581,1446
1582,1602
1583,1578
1584,1638
1585,1656
1586,1518
1587,1626
1588,1692
1589,1662
1590,1650
1591,1596
1592,1602
1593,1566
1594,1458
1595,1344
1596,1260
1597,1254
1598,1236
1599,1212
1600,1194
1601,1188
1602,1188
1603,1182
1604,1140
1605,1122
1606,1104
1607,1068
1608,1002
1609,966
1610,942
1611,906
1612,846
1613,780
1614,786
1615,762
1616,756
1617,702
1618,660
1619,654
1620,618
1621,594
1622,570
1623,558
1624,540
1625,528
1626,510
1627,486
1628,546
1629,678
1630,678
1631,672
1632,660
1633,660
1634,660
1635,640
1636,648
1637,632
1638,640
1639,640
1640,648
1641,616
1642,632
1643,640
1644,616
1645,632
1646,632
1647,660
1648,636
1649,636
1650,648
1651,660
1652,712
1653,756
1654,780
1655,808
1656,832
1657,968
1658,1032
1659,1048
1660,936
1661,948
1662,968
1663,992
1664,1116
1665,1232
1666,1308
1667,1264
1668,1288
1669,1384
1670,1376
1671,1432
1672,1464
1673,1456
1674,1548
1675,1596
1676,1568
1677,1620
1678,1704
1679,1720
1680,1752
1681,1760
1682,1728
1683,1856
1684,1800
1685,1792
1686,1816
1687,1784
1688,1792
1689,1736
1690,1648
1691,1488
1692,1404
1693,1360
1694,1360
1695,1360
1696,1288
1697,1280
1698,1264
1699,1240
1700,1216
1701,1164
1702,1136
1703,1080
1704,1064
1705,1024
1706,1000
1707,952
1708,876
1709,852
1710,832
1711,832
1712,800
1713,780
1714,744
1715,720
1716,696
1717,636
1718,624
1719,600
1720,808
1721,608
1722,552
1723,528
1724,648
1725,744
1726,504
1727,496
1728,504
1729,520
1730,648
1731,636
1732,488
1733,492
1734,472
1735,624
1736,600
1737,488
1738,472
1739,512
1740,488
1741,480
1742,480
1743,480
1744,488
1745,516
1746,488
1747,496
1748,536
1749,600
1750,588
1751,632
1752,664
1753,808
1754,852
1755,896
1756,888
1757,936
1758,976
1759,1000
1760,1096
1761,1260
1762,1328
1763,1284
1764,1328
1765,1336
1766,1392
1767,1448
1768,1440
1769,1520
1770,1572
1771,1572
1772,1620
1773,1596
1774,1648
1775,1640
1776,1704
1777,1736
1778,1744
1779,1792
1780,1836
1781,1764
1782,1744
1783,1692
1784,1672
1785,1704
1786,1592
1787,1452
1788,1356
1789,1376
1790,1352
1791,1336
1792,1312
1793,1248
1794,1232
1795,1208
1796,1184
1797,1176
1798,1128
1799,1088
1800,1056
1801,1032
1802,968
1803,944
1804,900
1805,840
1806,824
1807,804
1808,816
1809,784
1810,900
1811,800
1812,732
1813,688
1814,876
1815,708
1816,636
1817,576
1818,568
1819,528
1820,520
1821,496
1822,496
1823,480
1824,504
1825,504
1826,504
1827,504
1828,472
1829,464
1830,472
1831,584
1832,544
1833,488
1834,468
1835,456
1836,472
1837,464
1838,488
1839,496
1840,708
1841,560
1842,456
1843,456
1844,492
1845,540
1846,588
1847,608
1848,632
1849,656
1850,756
1851,824
1852,816
1853,840
1854,976
1855,1016
1856,1068
1857,1200
1858,1208
1859,1260
1860,1264
1861,1296
1862,1280
1863,1356
1864,1500
1865,1500
1866,1600
1867,1528
1868,1572
1869,1560
1870,1688
1871,1696
1872,1788
1873,1376
1874,1744
1875,1784
1876,1680
1877,1672
1878,1648
1879,1712
1880,1680
1881,1668
1882,1548
1883,1380
1884,1356
1885,1312
1886,1308
1887,1320
1888,1308
1889,1260
1890,1272
1891,1212
1892,1208
1893,1176
1894,1164
1895,1120
1896,1068
1897,1048
1898,1008
1899,944
1900,896
1901,1044
1902,912
1903,804
1904,776
1905,728
1906,704
1907,684
1908,664
1909,624
1910,600
1911,564
1912,576
1913,768
1914,760
1915,732
1916,712
1917,696
1918,712
1919,704
1920,688
1921,688
1922,680
1923,680
1924,672
1925,680
1926,672
1927,680
1928,684
1929,672
1930,680
1931,680
1932,664
1933,656
1934,672
1935,680
1936,684
1937,684
1938,688
1939,708
1940,712
1941,776
1942,816
1943,856
1944,872
1945,920
1946,976
1947,1096
1948,1072
1949,1136
1950,1152
1951,1168
1952,1248
1953,1404
1954,1496
1955,1472
1956,1272
1957,1360
1958,1356
1959,1380
1960,1448
1961,1452
1962,1452
1963,1432
1964,1472
1965,1504
1966,1548
1967,1560
1968,1576
1969,1568
1970,1584
1971,1520
1972,1624
1973,1584
1974,1572
1975,1576
1976,1536
1977,1472
1978,1404
1979,1232
1980,1168
1981,1144
1982,1160
1983,1112
1984,1092
1985,1092
1986,1044
1987,1044
1988,1000
1989,944
1990,936
1991,888
1992,864
1993,856
1994,832
1995,804
1996,792
1997,768
1998,736
1999,728
2000,732
2001,684
2002,640
2003,632
2004,632
2005,720
2006,544
2007,516
2008,512
2009,472
2010,456
2011,432
2012,456
2013,636
2014,424
2015,416
2016,492
2017,608
2018,424
2019,416
2020,432
2021,416
2022,420
2023,400
2024,504
2025,564
2026,432
2027,416
2028,440
2029,416
2030,432
2031,420
2032,624
2033,456
2034,432
2035,468
2036,540
2037,456
2038,420
2039,440
2040,448
2041,448
2042,456
2043,444
2044,464
2045,648
2046,536
2047,540
2048,520
2049,584
2050,560
2051,540
2052,552
2053,552
2054,540
2055,576
2056,600
2057,616
2058,616
2059,600
2060,612
2061,624
2062,636
2063,624
2064,624
2065,588
2066,608
2067,608
2068,608
2069,612
2070,612
2071,608
2072,576
2073,616
2074,588
2075,588
2076,584
2077,592
2078,588
2079,588
2080,600
2081,552
2082,544
2083,544
2084,552
2085,564
2086,540
2087,560
2088,544
2089,540
2090,528
2091,540
2092,544
2093,512
2094,512
2095,516
2096,516
2097,492
2098,472
2099,472
2100,488
2101,448
2102,480
2103,464
2104,444
2105,416
2106,432
2107,432
2108,400
2109,420
2110,424
2111,420
2112,420
2113,420
2114,420
2115,416
2116,416
2117,408
2118,420
2119,420
2120,588
2121,420
2122,420
2123,512
2124,536
2125,420
2126,444
2127,416
2128,408
2129,440
2130,540
2131,488
2132,420
2133,432
2134,424
2135,424
2136,456
2137,472
2138,576
2139,464
2140,468
2141,616
2142,480
2143,472
2144,496
2145,512
2146,504
2147,636
2148,560
2149,512
2150,472
2151,504
2152,496
2153,504
2154,516
2155,516
2156,496
2157,512
2158,516
2159,492
2160,600
2161,660
2162,496
2163,516
2164,512
2165,504
2166,516
2167,540
2168,520
2169,520
2170,528
2171,540
2172,528
2173,544
2174,540
2175,564
2176,552
2177,536
2178,540
2179,552
2180,536
2181,520
2182,544
2183,540
2184,520
2185,516
2186,540
2187,536
2188,520
2189,492
2190,512
2191,492
2192,496
2193,472
2194,472
2195,488
2196,468
2197,444
2198,424
2199,440
2200,448
2201,432
2202,432
2203,424
2204,424
2205,420
2206,420
2207,420
2208,424
2209,420
2210,424
2211,424
2212,420
2213,420
2214,420
2215,424
2216,424
2217,416
2218,420
2219,432
2220,424
2221,424
2222,440
2223,432
2224,424
2225,440
2226,444
2227,456
2228,464
2229,516
2230,536
2231,576
2232,608
2233,648
2234,720
2235,900
2236,840
2237,912
2238,960
2239,972
2240,1040
2241,1092
2242,1168
2243,1152
2244,1248
2245,1320
2246,1376
2247,1356
2248,1488
2249,1464
2250,1464
2251,1548
2252,1480
2253,1520
2254,1668
2255,1672
2256,1696
2257,1692
2258,1640
2259,1688
2260,1716
2261,1740
2262,1720
2263,1744
2264,1752
2265,1620
2266,1536
2267,1392
2268,1320
2269,1308
2270,1296
2271,1272
2272,1236
2273,1192
2274,1184
2275,1184
2276,1152
2277,1120
2278,1072
2279,1088
2280,1044
2281,992
2282,912
2283,904
2284,840
2285,780
2286,760
2287,768
2288,744
2289,708
2290,672
2291,664
2292,648
2293,600
2294,568
2295,568
2296,560
2297,520
2298,496
2299,472
2300,468
2301,468
2302,448
2303,468
2304,464
2305,448
2306,444
2307,440
2308,448
2309,432
2310,456
2311,444
2312,448
2313,440
2314,448
2315,444
2316,444
2317,444
2318,440
2319,448
2320,468
2321,488
2322,472
2323,488
2324,520
2325,560
2326,568
2327,612
2328,680
2329,728
2330,792
2331,920
2332,880
2333,976
2334,1016
2335,1056
2336,1144
2337,1264
2338,1272
2339,1224
2340,1284
2341,1452
2342,1488
2343,1400
2344,1400
2345,1392
2346,1560
2347,1504
2348,1480
2349,1520
2350,1688
2351,1640
2352,1720
2353,1800
2354,1768
2355,1728
2356,1744
2357,1716
2358,1704
2359,1704
2360,1764
2361,1688
2362,1572
2363,1416
2364,1296
2365,1296
2366,1296
2367,1280
2368,1240
2369,1192
2370,1164
2371,1164
2372,1160
2373,1140
2374,1120
2375,1080
2376,1056
2377,1032
2378,1008
2379,912
2380,864
2381,832
2382,816
2383,804
2384,760
2385,760
2386,708
2387,696
2388,684
2389,636
2390,756
2391,752
2392,592
2393,568
2394,560
2395,504
2396,492
2397,468
2398,488
2399,468
2400,456
2401,448
2402,480
2403,480
2404,672
2405,464
2406,472
2407,464
2408,464
2409,464
2410,472
2411,468
2412,448
2413,448
2414,480
2415,456
2416,468
2417,468
2418,468
2419,472
2420,512
2421,552
2422,600
2423,616
2424,616
2425,696
2426,792
2427,832
2428,840
2429,876
2430,976
2431,1000
2432,1120
2433,1212
2434,1236
2435,1260
2436,1336
2437,1352
2438,1392
2439,1500
2440,1608
2441,1624
2442,1712
2443,1664
2444,1624
2445,1624
2446,1680
2447,1712
2448,1696
2449,1784
2450,1812
2451,1816
2452,1744
2453,1716
2454,1692
2455,1716
2456,1728
2457,1644
2458,1544
2459,1424
2460,1344
2461,1352
2462,1320
2463,1304
2464,1312
2465,1280
2466,1236
2467,1232
2468,1216
2469,1176
2470,1152
2471,1068
2472,1080
2473,1016
2474,972
2475,928
2476,864
2477,816
2478,808
2479,792
2480,776
2481,736
2482,732
2483,728
2484,780
2485,780
2486,612
2487,624
2488,612
2489,544
2490,536
2491,520
2492,492
2493,472
2494,468
2495,468
2496,492
2497,616
2498,496
2499,468
2500,472
2501,456
2502,464
2503,464
2504,472
2505,600
2506,456
2507,468
2508,468
2509,480
2510,472
2511,472
2512,480
2513,468
2514,488
2515,488
2516,540
2517,576
2518,584
2519,616
2520,648
2521,704
2522,756
2523,828
2524,852
2525,928
2526,1040
2527,1040
2528,1140
2529,1236
2530,1280
2531,1272
2532,1308
2533,1332
2534,1384
2535,1376
2536,1448
2537,1452
2538,1432
2539,1512
2540,1512
2541,1500
2542,1596
2543,1616
2544,1632
2545,1768
2546,1736
2547,1712
2548,1704
2549,1712
2550,1716
2551,1704
2552,1712
2553,1544
2554,1488
2555,1392
2556,1320
2557,1336
2558,1312
2559,1280
2560,1248
2561,1240
2562,1216
2563,1164
2564,1152
2565,1144
2566,1092
2567,1072
2568,1040
2569,972
2570,968
2571,928
2572,856
2573,824
2574,784
2575,768
2576,756
2577,708
2578,784
2579,684
2580,680
2581,792
2582,588
2583,584
2584,660
2585,636
2586,512
2587,552
2588,624
2589,488
2590,468
2591,456
2592,448
2593,468
2594,480
2595,588
2596,464
2597,448
2598,456
2599,444
2600,448
2601,456
2602,448
2603,440
2604,456
2605,464
2606,448
2607,464
2608,480
2609,480
2610,468
2611,464
2612,496
2613,560
2614,584
2615,584
2616,616
2617,784
2618,776
2619,784
2620,784
2621,900
2622,900
2623,972
2624,1116
2625,1336
2626,1260
2627,1192
2628,1216
2629,1284
2630,1328
2631,1328
2632,1332
2633,1416
2634,1352
2635,1320
2636,1392
2637,1384
2638,1500
2639,1456
2640,1480
2641,1448
2642,1380
2643,1472
2644,1448
2645,1464
2646,1476
2647,1480
2648,1456
2649,1344
2650,1272
2651,1184
2652,1168
2653,1472
2654,1452
2655,1448
2656,1448
2657,1284
2658,1056
2659,1020
2660,984
2661,948
2662,900
2663,888
2664,856
2665,848
2666,824
2667,808
2668,784
2669,768
2670,736
2671,744
2672,876
2673,780
2674,672
2675,684
2676,736
2677,568
2678,568
2679,708
2680,540
2681,472
2682,560
2683,504
2684,464
2685,516
2686,536
2687,448
2688,456
2689,448
2690,432
2691,444
2692,488
2693,672
2694,648
2695,636
2696,636
2697,636
2698,632
2699,624
2700,640
2701,636
2702,648
2703,624
2704,640
2705,640
2706,648
2707,624
2708,632
2709,640
2710,656
2711,640
2712,648
2713,656
2714,656
2715,664
2716,672
2717,736
2718,736
2719,744
2720,776
2721,808
2722,760
2723,756
2724,752
2725,760
2726,768
2727,760
2728,768
2729,612
2730,576
2731,592
2732,584
2733,592
2734,592
2735,612
2736,600
2737,564
2738,560
2739,588
2740,732
2741,600
2742,584
2743,600
2744,584
2745,568
2746,584
2747,708
2748,584
2749,568
2750,744
2751,592
2752,592
2753,684
2754,616
2755,568
2756,576
2757,588
2758,584
2759,584
2760,588
2761,564
2762,560
2763,568
2764,552
2765,564
2766,520
2767,568
2768,636
2769,528
2770,488
2771,492
2772,512
2773,472
2774,480
2775,488
2776,492
2777,456
2778,456
2779,456
2780,456
2781,440
2782,464
2783,456
2784,468
2785,448
2786,456
2787,448
2788,440
2789,448
2790,448
2791,448
2792,440
2793,444
2794,444
2795,448
2796,440
2797,440
2798,444
2799,456
2800,456
2801,448
2802,456
2803,448
2804,440
2805,440
2806,464
2807,464
2808,448
2809,444
2810,472
2811,468
2812,464
2813,480
2814,492
2815,488
2816,504
2817,528
2818,512
2819,504
2820,504
2821,512
2822,488
2823,512
2824,512
2825,504
2826,516
2827,516
2828,520
2829,520
2830,544
2831,544
2832,560
2833,564
2834,560
2835,576
2836,600
2837,564
2838,592
